address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
250 Baltic Street,,N,N,N,3003120024,3003535,BROOKLYN ,N,Y,N,45,Y,Brooklyn,6,39,N,Y,"Families First, Inc. offers support to families of children from birth through the school years. Our organization's mission is to provide a warm, hospitable environment where young children can participate in enriching activities and where parents can meet together, form informal support networks, discuss issues of concern, and enhance their parenting skills. 

To achieve our mission, we offer opportunities for families, including caregivers, to participate together in a wide range of social, educational and community activities. We offer a drop-in play space, parenting classes, new mom's support groups, child-caregiver enrichment classes, evening workshops on family issues, and community events such as education forums, concerts, seasonal parties, and a spring carnival.",N,N,N,N,N,7182609402,N,N,N,N,N,N,40.686295,N,N,"{'latitude': '40.686295', 'needs_recoding': False, 'longitude': '-73.994671'}",-73.994671,N,N,N,Y,N,Carroll Gardens-Columbia Street-Red Hook                                   ,"Families First, Inc.",N,N,,N,7182371862,11201,N,Published,N,N,http://www.familiesfirstbrooklyn.org,N,N,N
298B West 149th Street,,N,Y,Y,,,,N,N,N,,N,New York,,,N,Y,"Girls Educational & Mentoring Services (GEMS) is the only organization in New York State specifically designed to serve girls and young women who have experienced commercial sexual exploitation and domestic trafficking. GEMS was founded in 1999 by Rachel Lloyd, a young woman who had been sexually exploited as a teenager. GEMS has helped hundreds of young women and girls, ages 12-21, who have experienced commercial sexual exploitation and domestic trafficking to exit the commercial sex industry and to develop to their full potential. GEMS provides young women with empathetic, consistent support and viable opportunities for positive change.",N,N,N,Y,N,2129267984,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,N,,GEMS Girls Educational and Mentoring Services,N,N,,N,2129268089,11206,N,Published,N,N,http://www.gems-girls.org,N,Y,N
120 West 57th Street,,N,N,N,1010090044,1023460,MANHATTAN,Y,Y,N,137,Y,New York,5,4,N,Y,"The Jewish Board of Family & Children's Services provides a comprehensive network of mental health and social services to promote the well-being, resilience and self-sufficiency of individuals and families in need in the New York metropolitan area.  As leaders in the field of human services, we proudly serve people of all faiths, races and cultures.",Y,N,N,N,N,2126324489,N,Y,N,Y,N,N,40.764688,N,Y,"{'latitude': '40.764688', 'needs_recoding': False, 'longitude': '-73.978095'}",-73.978095,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Jewish Board of Family and Children's Services,N,Y,"Westchester County, NY",N,2125829100,10019,N,Published,Y,Y,http://www.jbfcs.org,Y,Y,N
1460 Pennsylvania Avenue,,N,N,N,3044520020,3340241,BROOKLYN ,N,Y,N,105804,N,Brooklyn,5,42,N,Y,"Provides Summer Youth Employment Program, Young Adult Internship Training, After School Programs - servicing the ENY, Canarsie, Brownsville sections of Brooklyn.",N,N,Y,Y,N,7186422857,N,N,N,N,N,N,40.646068,N,N,"{'latitude': '40.646068', 'needs_recoding': False, 'longitude': '-73.879786'}",-73.879786,N,N,N,Y,N,Starrett City                                                              ,Italian American Civil Rights League,N,N,,N,7186422180,11239,N,Published,N,N,http://www.iacrlbrooklyn.com,N,N,N
366 Cornelia Street,,N,N,N,3033860010,3077742,BROOKLYN ,N,Y,N,439,Y,Brooklyn,4,37,N,Y,"A private, community-based not-for-profit organization providing on-site childcare for infants and toddlers, and training, organizing, and sponsoring licensed family and group-family day care providers in creation of small businesses. As sponsor of the Bushwick Ridgewood Family Day Care Providers Network, ongoing trainings include all aspects of New York City and New York State licensing requirements, renewals, etc. 120-hour CDA trainings are facilitated twice a year.  All trainings are provided in English or in Spanish.
Other services include one-on-one advocacy and referral for community residents.",N,N,N,N,N,7184567068,N,N,N,N,N,N,40.696527,N,N,"{'latitude': '40.696527', 'needs_recoding': False, 'longitude': '-73.909288'}",-73.909288,N,N,N,Y,N,Bushwick North                                                             ,"T.O.P.S. FOR YOU, Inc.",N,N,,N,7188213821,11237,N,Published,Y,N,http://www.topsforyou.org,N,N,N
137 Henry Street,,N,N,N,1002830015,1003564,MANHATTAN,N,N,N,6,Y,New York,3,1,N,Y,"Immigrant Social Services is a non-profit organization dedicated to improving the quality of life of youth and families in the Greater Chinatown and Lower East Side communities.

We offer extensive after-school and summer camp programs to approximately 800 children in the Chinatown / Lower East Side neighborhoods. Also included in our suite of services is an academic and career advancement program for immigrant youth, an educational and recreational arts and athletic program for youth, a drug prevention program, and children and family counseling services. 

There are also current plans underway to operate a center for immigrant services.",N,N,N,Y,N,2125711848,N,N,N,N,Y,N,40.71333,N,N,"{'latitude': '40.71333', 'needs_recoding': False, 'longitude': '-73.990827'}",-73.990827,Y,N,N,Y,N,Lower East Side                                                            ,"Immigrant Social Services, Inc.",N,N,,N,2125711840,10002,N,Published,N,N,http://www.issnyonline.org,N,N,N
"90-04 161st Street, Suite 201",,N,N,N,4097570023,4208850,QUEENS   ,N,N,N,44601,N,Jamaica,12,24,N,N,"Reach Into Cultural Heights, Inc. (RICH) is a 501 (c) (3) Nonprofit Organization. The focus is on building character and leadership skills of urban youth by engaging them in constructive language supported by communications technology.",N,N,Y,Y,N,7185233608,N,N,N,N,N,N,40.705199,N,N,"{'latitude': '40.705199', 'needs_recoding': False, 'longitude': '-73.799278'}",-73.799278,N,N,N,Y,N,Jamaica                                                                    ,"Reach Into Cultural Heights, Inc. (RICH)",N,N,,N,7185234099,11432,Y,Published,Y,N,http://www.richinc.org,N,N,N
"195-39 Hillside Ave,",,N,N,N,4105090280,4223923,QUEENS   ,N,N,N,478,N,Holliswood,8,23,N,Y,"A not-for-profit organization that advocates, informs and increases accessibility to healthcare to improve to improve the health of under-priveleged women and children especially. Encourages interest in healthcare profession and retainment of health professionals in within their communities through mentorship and partnership programs.",N,N,Y,N,N,,N,Y,N,N,N,N,40.717396,N,N,"{'latitude': '40.717396', 'needs_recoding': False, 'longitude': '-73.767146'}",-73.767146,N,N,N,Y,N,Jamaica Estates-Holliswood                                                 ,AngelDocs,N,Y,Africa ,N,7187769699,11423,N,Published,Y,N,http://angeldoctors.org,N,N,N
150 Broadway,14th fl,N,N,N,1000640012,1001087,MANHATTAN,Y,Y,N,1502,N,New York,1,1,N,N,"LWVNYC Education Fund is the educational arm of the League of Women Voters - NYC. It runs courses, such as ""How to Run for Public Office"", issues publications such as ""What Makes New York City Run"" and ""They Represent You"", a directory of elected officials representing New York City; conducts candidates debates and forums on issues of public policy; maintains a Telephone Information Service and a website with  useful links to the National, State and Local governments, the Boards of Election and the National and State League of Women Voters. The League runs Voter Registration Drives and provides speakers.",N,N,Y,N,N,2127253443,N,N,N,N,N,N,40.70932,N,N,"{'latitude': '40.70932', 'needs_recoding': False, 'longitude': '-74.010392'}",-74.010392,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,League of Women Voters of the City of New York Education Fund,N,N,,N,2127253541,10038,N,Published,Y,Y,http://www.lwvnyc.org,N,N,N
281 Pleasant Avenue,,N,N,N,1017090021,1079395,MANHATTAN,N,N,N,178,N,New York,11,8,N,N,"The Nourishing Kitchen of New York City, Inc., is a not-for-profit 501 (c)(3) community food program supported and run by the greater New York City area. 

Our mission is to provide nutritious meals and culinary training in a safe and caring environment, to anyone who comes seeking nourishment without question and without criticism. And, further, to provide access to community services and resources to those in need while providing opportunities for volunteers to give of themselves in service to others. Anyone is welcome regardless of age, sex, race, financial qualifications, or religious beliefs.",N,N,N,Y,N,,N,N,Y,N,N,N,40.794482,N,N,"{'latitude': '40.794482', 'needs_recoding': False, 'longitude': '-73.933583'}",-73.933583,Y,N,N,Y,N,East Harlem North                                                          ,"The Nourishing Kitchen of New York City, Inc.",N,N,,N,6462591332,10029,N,Published,N,N,http://eatwellnyc.org,N,N,N
"41 W. 58th St., Suite 3C",,N,Y,N,1012740006,1080444,MANHATTAN,N,N,N,11201,N,New York,5,4,N,N,"Equal Voice is a nonprofit 501(c)(3) organization committed to challenging the stereotypes about women as leaders by educating voters about what they contribute and why this matters to the health, safety, and prosperity of our nation.",N,N,Y,N,N,,N,N,N,N,N,N,40.764397,N,N,"{'latitude': '40.764397', 'needs_recoding': False, 'longitude': '-73.975232'}",-73.975232,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Equal Voice,N,N,,N,2127525815,10019,N,Published,N,N,http://www.equalvoice.org,N,N,N
138-15 Franklin Ave. Suite 610,"P.O.Box 520032, Flushing, New York 11355",N,Y,Y,4051350044,4115789,QUEENS   ,N,N,N,853,N,Flushing,7,20,N,N,"The corporation is organized exclusively for the charitable, educational literary and cultural purposes of promoting a positive cultural identity among Puerto Ricans/Latinos by preserving culture, history and legacy through educational and cultural activities. The coporation will sponsor lectures, conferences, art exhibits, workshops, seminars and publications on Puerto Rican and other Latino history and culture organizational seminars, cultural exhibits and conferences.  Also . collaborating with educational and other non-profit organizations with similar or related purposes. In connection with the scope of activities shall include accepting donations, contributions , holding conferences and seminars, organizing cultural concerts and festivals, organizaing arts and cultural exhibits , books fair, books presentaations insuring the multicultural and ethnic relevancy in publications.Every year the organization organizes activities to celebrate special dates such as: An activity during the Puerto Rican Culture Month, An activity celebrating Women Histoy Month, Three kings Day Celebration, An activity for Human Rights Day.",N,N,Y,N,N,7183591417,N,N,N,N,Y,N,40.754994,N,N,"{'latitude': '40.754994', 'needs_recoding': False, 'longitude': '-73.825964'}",-73.825964,N,N,N,Y,Y,Flushing                                                                   ,Puerto Rican Institute for the Development of Education(PRIDE),N,N,,N,7183094841,11355,N,Published,Y,N,,N,N,N
783 4th Avenue,,N,N,N,3006610005,3009757,BROOKLYN ,N,Y,N,101,N,Brooklyn,7,38,N,N,"Opportunities for a Better Tomorrow provides the following services:
* Youth GED & Employment Training
Monday - Friday
9:30 AM - 12:00 Noon
1:30 PM - 4:00 PM
* Opportunity Knocks Young Adult Internship Program
Bushwick Location ONLY
1-866-O-KNOCKS (656-6257)
* Adult Literacy Classes - FREE (Bushwick)
Provides Pre-GED, GED and English as a Second
Language instruction to adults.
* Adult Employment Services - FREE (All Sites)
Provides training and employment assistance to
unemployed and under employed adults.
* Learn in the Evening Program (Sunset Park)
Fee for service program that provides instruction on:
GED, ESOL (beginners and intermediate
levels), and Computer classes. Call for registration details 718-369-0303

Sunset Park 
783 4th Avenue
Brooklyn,  NY 11232
718-369-0303

Bushwick
25 Thornton Street
Brooklyn, NY 11206
718-387-1600",N,N,Y,Y,N,7183691518,N,N,N,N,N,N,40.65927,N,N,"{'latitude': '40.65927', 'needs_recoding': False, 'longitude': '-73.999268'}",-73.999268,N,N,N,Y,N,Sunset Park West                                                           ,Opportunities for a Better Tomorrow,N,N,,N,7183690303,11232,N,Published,N,N,http://www.obtjobs.org,N,N,N
"1637 Bedford Avenue, SPSS 220-32",,N,N,N,3012880001,3033796,BROOKLYN ,N,Y,N,323,N,"BROOKLYN,  NEW YORK",9,35,N,N,"The Center for Nuleadership on Urban Solutions (CNuLUS) is an inter-disciplinary forum for scholars, advocates, policy makers, law enforcement professionals, criminal justice practitioners and civil society leaders working on urban contemporary criminal, economic and social justice issues. The Center is dedicated to creating new approaches for solving the myriad of urban problems and challenges as they relate to communities most impacted by crime and the criminal justice system. It seeks to produce research that reveals the sometimes impractical and costly methods that are used within and among the various disciplines that currently comprise our criminal justice system and develop new and effective community specific models for achieving and maintaining public health and safety.",N,N,Y,N,N,7182705181,N,N,N,N,N,N,40.66673,Y,N,"{'latitude': '40.66673', 'needs_recoding': False, 'longitude': '-73.956485'}",-73.956485,N,N,N,Y,N,Crown Heights South                                                        ,Center for NuLeadership on Urban Solutions,N,N,,N,7182705136,11225,Y,Published,N,N,http://mec.cuny.edu,N,N,N
"214 West 29 Street, 8th floor",,N,N,N,1007780048,1014267,MANHATTAN,Y,Y,N,95,N,New York,5,3,N,Y,"Non-profit housing and social service organization providing services for people with HIV/AIDS, mental illness, homeless and suicidal prevention services (for Latina adolescents residing in the Bronx).",N,N,N,N,N,2122192087,N,N,N,Y,N,N,40.748148,N,Y,"{'latitude': '40.748148', 'needs_recoding': False, 'longitude': '-73.993623'}",-73.993623,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Comunilife Inc,N,N,,N,2122191618,10001,N,Published,Y,N,http://www.comunilife.org,N,N,N
6025 6th Avenue,,N,N,N,3057840001,3143523,BROOKLYN ,N,Y,N,118,Y,Brooklyn,7,38,N,Y,"This program is the core of the Family Support Center, assisting participants in accessing the full range of community resources and services available to them both within the center and in the community. Program staff provide crisis intervention, case management, short-term counseling, school advocacy, assistance with enrollment to public benefits, information and referrals to address health, hunger, legal, immigration, housing, and personal issues. Program staff also conduct community education workshops both on-site and in the community on topics such access to healthcare, domestic violence, and identifying and navigating community resources. This program also spearheads the Lutheran Healthcare Domestic Violence Taskforce which has the goal of improving screening, identification, and intervention with victims of domestic violence. Services are free and confidential.",N,N,Y,Y,N,7186307295,N,Y,N,N,N,N,40.637961,N,N,"{'latitude': '40.637961', 'needs_recoding': False, 'longitude': '-74.014149'}",-74.014149,N,N,N,Y,N,Sunset Park East                                                           ,Lutheran Family Health Centers' Family Support Center,N,N,,N,7186307186,11220,N,Published,N,N,http://www.lmcmc.com,N,Y,N
"3940 Broadway 2nd, Floor",,N,N,N,1021240043,1087469,MANHATTAN,N,N,N,251,Y,New York,12,10,N,Y,"The Community Association of Progressive Dominicans (ACDP) is a community-based, not-for-profit organization originally founded to address the needs of the New York City's expanding immigrant community. Since its inception in 1979, ACDP has grown rapidly from an all-volunteer group into a comprehensive full-services Agency providing culturally sensitive, bilingual, high quality, educational, recreational, housing, case management, advocacy, and mental health services to children, adolescents and adults and their families within Upper Manhattan and the Bronx.
 
Mission Statement:

The Mission of Community Association of Progressive Dominicans (ACDP) is to promote and develop the physical, emotional and social economic well-being of the residents of Manhattan, the Bronx and New York City by facilitating community empowerment through education, provision of human services and the development of individual skills and community Leadership.

	ACDP provides its services through programs in five critical areas:
ï‚§	Community Organizing and Housing Development
ï‚§	Immigration, Employment  and Social Services
ï‚§	Clinical and Family Services
ï‚§	Education and Youth Development Services
ï‚§	Food and Nutrition Services

Our holistic and family-centered programs offer an array of services to reduce school drop out, reduce evictions of families from their apartments promote community revitalization through tenant organizing and housing rehabilitation, increase employment opportunities through a provision of education, immigration and training services, support families with child care, case management and mental health needs, give residents a greater voice in the decision that affects their lives. Overall these programs are designed to nurture and challenge individuals to become self sufficient. They bring people together by celebrating their diversity and opposing all forms of stereotyping and discrimination.",N,N,Y,N,N,2129276089,N,Y,N,Y,Y,N,40.839277,N,N,"{'latitude': '40.839277', 'needs_recoding': False, 'longitude': '-73.941052'}",-73.941052,Y,N,N,Y,N,Washington Heights South                                                   ,Community Association of Progressive Dominicans (ACDP),N,N,,N,2127815500,10032,N,Published,N,N,http://www.acdp.org,N,N,N
120 Wall Street,,N,Y,N,1000370001,1000871,MANHATTAN,N,N,N,7,N,New York,1,1,N,N,The Center for Reproductive Rights is a nonprofit legal advocacy organization dedicated to promoting and defending women's reproductive rights worldwide.,N,N,N,N,N,,N,Y,N,N,N,N,40.70438,N,N,"{'latitude': '40.70438', 'needs_recoding': False, 'longitude': '-74.006427'}",-74.006427,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,Center for Reproductive Rights,N,N,,N,9176373600,10005,N,Published,N,N,http://www.reproductiverights.org,N,N,N
120 West 14th Street,,Y,N,N,1006090023,1010639,MANHATTAN,Y,Y,N,71,Y,New York,2,3,N,Y,"The Salvation Army is an international, faith-based charitable organization with a simple mission: to help those in need without discrimination.",Y,N,N,N,N,,N,N,N,Y,N,N,40.737704,N,N,"{'latitude': '40.737704', 'needs_recoding': False, 'longitude': '-73.997676'}",-73.997676,Y,N,N,Y,N,West Village                                                               ,The Salvation Army,N,Y,"Beacon, East Northport, Freeport, Hempstead, Kingston, Middletown, Newburgh, New Rochelle, Peekskill,   Port Chester,  Port Jervis,  Poughkeepsie, Riverhead, Spring Valley, Suffern, Tarrytown, Westbury, White Plains, Yonkers",N,2123377200,10011,N,Published,Y,Y,http://www.use.salvationarmy.org/gnyd,N,N,N
208 West 13th Street,,Y,Y,Y,1006170047,1067571,MANHATTAN,N,N,N,77,Y,New York,2,3,N,Y,"""The Lesbian, Gay, Bisexual & Transgender Community Center provides a home for the birth, nurture and celebration of our organizations, institutions and culture; cares for our individuals and groups in need; educates the public and our community; and empowers our individuals and groups to achieve their fullest potential.""",N,N,Y,N,N,2129242657,N,Y,N,N,Y,N,40.738034,N,Y,"{'latitude': '40.738034', 'needs_recoding': False, 'longitude': '-74.000603'}",-74.000603,Y,N,N,Y,N,West Village                                                               ,"The Lesbian, Gay, Bisexual & Transgender Community Center",N,N,,N,2126207310,10011,N,Published,N,N,http://www.gaycenter.org/,N,N,Y
132 West 32nd Street,,Y,N,N,1008077501,1087535,MANHATTAN,N,N,N,101,N,New York,5,3,N,Y,"The American Cancer Society is dedicated to eliminating cancer as a major health problem by saving lives, diminishing suffering and preventing cancer through research, education, advocacy and service.",N,N,Y,N,N,2122373804,N,Y,N,N,Y,N,40.748957,N,N,"{'latitude': '40.748957', 'needs_recoding': False, 'longitude': '-73.989797'}",-73.989797,Y,N,N,Y,N,Midtown-Midtown South                                                      ,The American Cancer Society -- Manhattan,N,Y,"Staten Island, Metro New Jersey, Queens, Brooklyn, Bronx",N,8002272345,10001,N,Published,N,N,http://www.cancer.org,N,N,N
10-25 41st Avenue,,Y,N,Y,4004700100,4433386,QUEENS   ,N,N,Y,25,N,Long Island CIty,1,26,N,Y,Social Services Agency,N,N,N,N,N,7187841964,N,N,N,N,Y,N,40.755488,N,N,"{'latitude': '40.755488', 'needs_recoding': False, 'longitude': '-73.945328'}",-73.945328,N,N,N,Y,N,Queensbridge-Ravenswood-Long Island City                                   ,"Jacob A. Riis Neighborhood Settlement House, Inc.",N,N,,N,7187847447,11101,N,Published,Y,N,http://www.riissettlement.org,N,Y,N
21 Snyder Ave.,2nd Floor,N,Y,N,3051030008,3117220,BROOKLYN ,Y,Y,N,794,N,Brooklyn,14,40,N,N,"Caribbean Women's Health Association Inc. is a community-based, non-profit organization with a twenty-five year track record, whose mission is to provide culturally sensitive, comprehensive, immigration, healthcare and social support services to its diverse constituents.",N,N,N,N,N,7188262948,N,Y,N,N,N,N,40.648574,Y,N,"{'latitude': '40.648574', 'needs_recoding': False, 'longitude': '-73.957531'}",-73.957531,Y,N,N,Y,N,Erasmus                                                                    ,"Caribbean Women's Health Association, Inc.",N,N,,N,7188262942,11226,N,Published,Y,N,http://www.cwha.org,N,N,N
76 Wadsworth Avenue,,Y,N,N,1021450051,1063574,MANHATTAN,N,N,N,263,Y,New York,12,10,N,N,"NMMIC provides legal, social, workforce, education, organizing, housing development and weatherization services.  All services are free and bilingual (English/Spanish).",N,N,Y,Y,N,2127409646,N,Y,N,N,Y,N,40.847012,Y,N,"{'latitude': '40.847012', 'needs_recoding': False, 'longitude': '-73.93704'}",-73.93704,Y,N,N,Y,N,Washington Heights South                                                   ,Northern Manhattan Improvement Corporation,N,N,,N,2128228319,10033,N,Published,N,N,http://nmic.org,N,Y,N
419 East 86 Street,,N,N,N,1015660008,1083281,MANHATTAN,N,N,N,14402,Y,New York,8,5,N,Y,"The Association to Benefit Children was created to provide quality early childcare to underprivileged children in East Harlem. Over the years, ABC has grown in order to meet the needs of families comprehensively through education, supportive housing, early intervention programming, mental health treatment, and after school programming. ABC maintains close ties to other community based organizations in the East Harlem area and collaborates with other agencies in order to provide the most thorough care possible.",N,N,Y,N,N,,N,N,N,Y,N,N,40.776514,N,N,"{'latitude': '40.776514', 'needs_recoding': False, 'longitude': '-73.948491'}",-73.948491,Y,N,N,Y,N,Yorkville                                                                  ,Association to Benefit Children,N,N,,N,2128311322,10028,N,Published,N,N,http://a-b-c.org,N,N,N
29-76 Northern Blvd.,,N,N,N,4002390049,4003410,QUEENS   ,N,N,N,171,Y,Long Island City,1,26,N,Y,"Founded in 1967, The Fortune Society is a non-profit organization dedicated to strengthening the fabric of our communities by offering critical re-entry services to formerly incarcerated men and women and promoting alternatives to incarceration.  Fortune does this through a holistic, “one-stop” model of service that features: crisis intervention and crisis counseling, career development, education, housing services, HIV/AIDS-case management, substance abuse treatment, family services, referrals, and lifetime aftercare, among other services.  A female-specific program, DAMAS, provides a supportive community in which the unique needs of women with criminal justice system involvement are addressed. Through DAMAS, women are empowered to move away from criminal behavior and antisocial tendencies -- and to develop as productive and responsible members of society.",N,N,Y,Y,N,3475103451,N,Y,N,Y,N,N,40.750433,N,N,"{'latitude': '40.750433', 'needs_recoding': False, 'longitude': '-73.935323'}",-73.935323,N,N,N,Y,N,Hunters Point-Sunnyside-West Maspeth                                       ,The Fortune Society,N,N,,N,2126917554,11101,N,Published,Y,N,http://www.fortunesociety.org,N,N,N
285 Schermerhorn Street,,Y,N,N,3001660051,3000519,BROOKLYN ,N,Y,N,37,Y,Brooklyn,2,33,N,Y,"The Brooklyn Bureau of Community Service strives to empower its clients to achieve greater economic self-sufficiency and more rewarding participation in the community through programs that nurture and strengthen families, protect children, and enable individuals with disabilities to achieve their full potential.  Through these services and advocacy, the Brooklyn Bureau works to build stronger and healthier individuals, families and communities.",Y,N,Y,Y,N,7188551517,N,N,N,Y,N,N,40.687759,N,N,"{'latitude': '40.687759', 'needs_recoding': False, 'longitude': '-73.982898'}",-73.982898,N,N,N,Y,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,Brooklyn Bureau of Community Service,N,N,,N,7183105600,11217,N,Published,N,N,http://www.bbcs.org,N,Y,N
85 South Oxford,,N,N,N,,,,N,Y,Y,,N,Brooklyn,,,N,N,"The Business Outreach Center (BOC) Network is a micro-enterprise/small business development organization with over a decade-long record of delivering customized business services to under-served entrepreneurs in New York City and, more recently, in Newark, New Jersey, as well as capacity-building services to organizations establishing and operating community and micro-enterprise development programs.

Innovative and collaborative, the BOC Network works to close the credit and technical-assistance gap limiting the growth potential and job-creation capacities of microentrepreneurs and small businesses of hard-working men and women who operate in isolation from the mainstream market and whose businesses are an important source of jobs in their largely minority and immigrant communities. By stimulating the growth of profitable enterprises, the BOC Network helps to recirculate capital through neighborhood economies, and so to revitalize whole communities.

Individually and in concert, the BOC Network's growing alliance of Business Outreach Centers, or BOCs, connect local entrepreneurs to the full complement of business assistance services, as well as to financial, legal, and other resources. In the process, they successfully guide them through the process of starting and developing their enterprises, and then follow-up with them as they progress and their needs evolve.

Speaking the languages of the communities they serve, individual BOCs have proven to be ideally suited to reach and extend a guiding hand to local entrepreneurs whose challenges are many and resources few. BOC business counselors provide one-on-one needs assessment, business planning, marketing and management guidance, as well as access to resources through the BOC Network's extensive linkages with the full spectrum of public and private business assistance sources.

Moreover, the BOC Network serves as a highly interactive forum for sharing technology and resources across community and cultural lines, enabling local entrepreneurs to familiarize themselves with the latest business practices, to forge meaningful links with mainstream services, markets, and mentors, and to gain access to new business-development opportunities.

In other words, the BOC Network makes connections that make the system work for local entrepreneurs, communities, regions, service providers, and the economy as a whole.",N,N,N,Y,N,7182461881,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Business Outreach Center Network,N,N,,N,7186249115,11217,N,Published,Y,Y,http://www.bocnet.org/boc/home.html,N,N,N
P.O. Box 1161 Triborough Station,,N,N,N,,,,Y,N,N,,N,New York,,,N,Y,"Bilingual/Bicultural (English/Spanish) domentic violence agency, with residential and non-residential programs in Manhattan, Bronx and Queens.",N,Y,Y,N,N,2124109117,N,N,N,Y,Y,N,,N,N,,,Y,N,N,Y,N,,"Violence Intervention Program, Inc.",N,N,,N,2124109080,10035,N,Published,Y,N,http://www.vipmujeres.org,N,Y,Y
76A Fifth Avenue,,N,N,N,3009340041,3018666,BROOKLYN ,N,Y,N,12901,N,Brooklyn,6,39,N,N,"Our mission is to assist low-income youth, families and immigrants to create viable neighborhoods where residents are decision makers who take responsibility for the improvement of their lives and surroundings. We operate an Adult Literacy Program, Job Development Program, Food Pantry and 2 Afterschool Programs in the Park Slope Area.",N,N,Y,Y,N,7187891094,N,N,N,N,N,N,40.680691,N,N,"{'latitude': '40.680691', 'needs_recoding': False, 'longitude': '-73.977574'}",-73.977574,N,N,N,Y,N,Park Slope-Gowanus                                                         ,"IMANI HOUSE, Inc.",N,N,,N,7186382059,11217,N,Published,N,N,http://www.imanihouse.org,N,N,N
3295 Fulton Street,,N,N,N,3041290065,3092218,BROOKLYN ,N,Y,Y,117602,Y,Brooklyn,5,37,N,N,"We provide quality child care options for parents in our community. We oversee an ACD funded Center, Head start program for children 3 to 5 and a family day care network which has a dual mission of helping women capitalize on their child rearing skills  as well as providing child care services for infants thru 12 years.",N,N,N,N,N,7182350898,N,N,N,N,N,N,40.683212,N,N,"{'latitude': '40.683212', 'needs_recoding': False, 'longitude': '-73.873759'}",-73.873759,N,N,N,Y,N,Cypress Hills-City Line                                                    ,Cypress Hills Child Care Corporation,N,N,,N,7182353949,11208,N,Published,N,N,http://www.cypresshills.org,N,N,N
"630 9th Avenue, 2nd floor",,N,N,N,1010350001,1024982,MANHATTAN,N,N,N,121,N,New York,4,3,N,N,"CODEPINK is a women-initiated grassroots peace and social justice movement dedicated to ending the war in Iraq, preventing future wars, and directing our nation's resources to life-affirming activities such as healthcare and education.",N,N,Y,N,N,,N,N,N,N,N,N,40.760038,N,N,"{'latitude': '40.760038', 'needs_recoding': False, 'longitude': '-73.991449'}",-73.991449,Y,N,N,Y,N,Clinton                                                                    ,CODEPINK Women for Peace,N,Y,"Santa Monica, San Francisco, Washington, D.C.",N,6467231781,10036,N,Published,N,N,http://www.codepinkalert.org/,N,N,N
